num_matches,matches,types,total_quota,total_probability,expected_return_per_euro,roi_percentage,score
3,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'US Lecce vs Torino FC']","['1X', '1X', '2X']",2.18,52.06752611095421,1.14,13.58,0.6717339977997936
4,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '2X', '1X']",2.55,46.8907541669472,1.2,19.68,0.6716296736139888
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.24,51.13987239060494,1.14,14.3,0.6681559534107818
5,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X', '1X']",2.62,46.05533167231479,1.2,20.44,0.6680521849160228
3,"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.71,61.03535303505089,1.05,4.57,0.6674431102049111
4,"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.0,54.96696210533587,1.1,10.19,0.6673394524188363
3,"['Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.3,73.21038106983595,0.95,-4.68,0.6651566842452956
4,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '2X', '1X', '1X']",2.75,44.473252233451596,1.22,22.18,0.6639068018899994
5,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '2X', '1X', '1X', '1X']",3.21,40.05153486723237,1.29,28.74,0.6638036933131158
3,"['AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.41,68.79615406629736,0.97,-2.68,0.6516113599881265
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X']",2.67,45.033921020726744,1.2,20.25,0.6512216914072771
5,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X', '1X']",3.12,40.55645961086577,1.27,26.71,0.6511205529016231
3,"['Como 1907 vs US Sassuolo Calcio', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['1X', '2X', '1X']",2.05,53.74791018363238,1.1,10.01,0.6505269150517484
4,"['Como 1907 vs US Sassuolo Calcio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '2X', '1X', '1X']",2.39,48.40406740349499,1.16,15.92,0.6504258844488918
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.81,58.242765409330524,1.06,5.66,0.6501925273019965
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.12,52.452025260280664,1.11,11.33,0.650091548631497
3,"['Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.37,69.6634586669834,0.96,-4.21,0.6391611756102652
4,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X']",2.9,42.31859639954645,1.23,22.78,0.6379601408849027
5,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '2X', '1X', '1X']",3.39,38.111103958209995,1.29,29.37,0.63786106197496
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.97,54.73101223889716,1.08,7.88,0.6369519347912456
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.31,49.28942532690022,1.14,13.67,0.6368530124615565
2,"['US Lecce vs Torino FC', 'Bologna FC 1909 vs US Cremonese']","['2X', '1X']",1.44,67.27039967478463,0.97,-2.83,0.6351950664527887
3,"['US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['2X', '1X', '1X']",1.69,60.582094243171305,1.02,2.39,0.6350964169749418
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano']","['1X', '1X', '2X']",1.7,60.366957159011015,1.02,2.35,0.6323336775995988
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '2X', '1X']",1.98,54.365020952172586,1.08,7.84,0.6322354725120364
3,"['Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.48,66.0718861061792,0.98,-2.21,0.6318116495781126
4,"['Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.73,59.50274192304247,1.03,3.04,0.6317135255645298
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio']","['1X', '1X', '1X', '1X']",1.92,55.42099933714769,1.06,6.18,0.6247818445888116
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X', '1X', '1X']",2.24,49.910811012355786,1.12,11.88,0.6246848123447152
2,"['Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC']","['1X', '2X']",1.4,68.1184692786713,0.96,-4.36,0.6230585443188145
3,"['Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '2X', '1X']",1.64,61.3458452081695,1.01,0.77,0.622961779713245
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '2X', '1X']",2.35,48.19628926183495,1.13,13.49,0.6208085316047101
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '2X', '1X', '1X']",2.76,43.40441193076616,1.2,19.59,0.6207121164391647
3,"['AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.61,62.08807534652191,1.0,-0.16,0.6189453672935066
4,"['AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",1.88,55.91501834691832,1.05,5.2,0.6188492414881849
5,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X', '1X']",2.41,47.337606885693326,1.14,14.21,0.6175017457483527
3,"['AC Pisa 1909 vs FC Internazionale Milano', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['2X', '1X', '1X']",1.62,61.672886705626,1.0,-0.19,0.6143622389312577
2,"['AC Milan vs SS Lazio', 'US Lecce vs Torino FC']","['1X', '2X']",1.53,64.01125958879419,0.98,-2.35,0.6103705112374451
3,"['AC Milan vs SS Lazio', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '2X', '1X']",1.78,57.64699154130376,1.03,2.89,0.6102757171570017
